GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US06037,06037,"Los Angeles County, California",1400000US06037106020,06037106020,Los Angeles County - Census Tract 1060.20,Census Tract 1060.20,5557,1433,0.78,0.00,0.78,7157.1,1845.6
0500000US06037,06037,"Los Angeles County, California",1400000US06037106111,06037106111,Los Angeles County - Census Tract 1061.11,Census Tract 1061.11,4334,1345,1.48,0.00,1.47,2942.7,913.2
0500000US06037,06037,"Los Angeles County, California",1400000US06037106112,06037106112,Los Angeles County - Census Tract 1061.12,Census Tract 1061.12,5969,1501,1.25,0.00,1.25,4789.8,1204.5
0500000US06037,06037,"Los Angeles County, California",1400000US06037106113,06037106113,Los Angeles County - Census Tract 1061.13,Census Tract 1061.13,3493,884,0.56,0.00,0.56,6290.5,1592.0
0500000US06037,06037,"Los Angeles County, California",1400000US06037106114,06037106114,Los Angeles County - Census Tract 1061.14,Census Tract 1061.14,5880,1622,0.39,0.00,0.39,15059.9,4154.3
0500000US06037,06037,"Los Angeles County, California",1400000US06037106403,06037106403,Los Angeles County - Census Tract 1064.03,Census Tract 1064.03,3825,863,0.43,0.00,0.43,8960.0,2021.6
0500000US06037,06037,"Los Angeles County, California",1400000US06037106405,06037106405,Los Angeles County - Census Tract 1064.05,Census Tract 1064.05,3966,1174,0.45,0.00,0.45,8778.2,2598.5
0500000US06037,06037,"Los Angeles County, California",1400000US06037106406,06037106406,Los Angeles County - Census Tract 1064.06,Census Tract 1064.06,4962,1670,0.81,0.00,0.80,6165.9,2075.2
0500000US06037,06037,"Los Angeles County, California",1400000US06037106407,06037106407,Los Angeles County - Census Tract 1064.07,Census Tract 1064.07,2933,872,0.09,0.00,0.09,32725.3,9729.5
0500000US06037,06037,"Los Angeles County, California",1400000US06037106408,06037106408,Los Angeles County - Census Tract 1064.08,Census Tract 1064.08,3463,996,0.09,0.00,0.09,39179.8,11268.6
0500000US06037,06037,"Los Angeles County, California",1400000US06037106510,06037106510,Los Angeles County - Census Tract 1065.10,Census Tract 1065.10,5108,1538,2.21,0.00,2.21,2311.3,695.9
0500000US06037,06037,"Los Angeles County, California",1400000US06037106520,06037106520,Los Angeles County - Census Tract 1065.20,Census Tract 1065.20,5837,1463,0.85,0.00,0.85,6853.3,1717.7
0500000US06037,06037,"Los Angeles County, California",1400000US06037106603,06037106603,Los Angeles County - Census Tract 1066.03,Census Tract 1066.03,2979,992,5.91,0.00,5.91,504.4,168.0
0500000US06037,06037,"Los Angeles County, California",1400000US06037106604,06037106604,Los Angeles County - Census Tract 1066.04,Census Tract 1066.04,5020,1265,1.01,0.00,1.01,4992.9,1258.2
0500000US06037,06037,"Los Angeles County, California",1400000US06037106641,06037106641,Los Angeles County - Census Tract 1066.41,Census Tract 1066.41,2317,787,0.44,0.00,0.44,5284.9,1795.1
0500000US06037,06037,"Los Angeles County, California",1400000US06037106642,06037106642,Los Angeles County - Census Tract 1066.42,Census Tract 1066.42,3236,1095,0.61,0.00,0.61,5312.6,1797.7
0500000US06037,06037,"Los Angeles County, California",1400000US06037106643,06037106643,Los Angeles County - Census Tract 1066.43,Census Tract 1066.43,4320,1344,1.67,0.00,1.67,2582.4,803.4
0500000US06037,06037,"Los Angeles County, California",1400000US06037106645,06037106645,Los Angeles County - Census Tract 1066.45,Census Tract 1066.45,3389,1205,0.98,0.00,0.98,3472.2,1234.6
0500000US06037,06037,"Los Angeles County, California",1400000US06037106646,06037106646,Los Angeles County - Census Tract 1066.46,Census Tract 1066.46,3237,964,0.57,0.00,0.57,5679.3,1691.3
0500000US06037,06037,"Los Angeles County, California",1400000US06037106648,06037106648,Los Angeles County - Census Tract 1066.48,Census Tract 1066.48,3890,1005,0.31,0.00,0.31,12706.1,3282.7
0500000US06037,06037,"Los Angeles County, California",1400000US06037106649,06037106649,Los Angeles County - Census Tract 1066.49,Census Tract 1066.49,2853,727,0.43,0.00,0.43,6664.6,1698.3
0500000US06037,06037,"Los Angeles County, California",1400000US06037107010,06037107010,Los Angeles County - Census Tract 1070.10,Census Tract 1070.10,3247,752,0.26,0.00,0.26,12282.7,2844.6
0500000US06037,06037,"Los Angeles County, California",1400000US06037107020,06037107020,Los Angeles County - Census Tract 1070.20,Census Tract 1070.20,5404,1307,0.38,0.00,0.38,14069.5,3402.8
0500000US06037,06037,"Los Angeles County, California",1400000US06037108101,06037108101,Los Angeles County - Census Tract 1081.01,Census Tract 1081.01,2230,800,0.44,0.00,0.44,5117.4,1835.8
0500000US06037,06037,"Los Angeles County, California",1400000US06037108102,06037108102,Los Angeles County - Census Tract 1081.02,Census Tract 1081.02,3430,1253,0.84,0.00,0.84,4068.0,1486.0
